Function,N,Time
ThreeSumQuadratic,250,3
ThreeSumQuadrithmic,250,2
ThreeSumCubic,250,8
ThreeSumQuadraticWithCalipers,250,1
ThreeSumQuadratic,500,3
ThreeSumQuadrithmic,500,4
ThreeSumCubic,500,31
ThreeSumQuadraticWithCalipers,500,1
ThreeSumQuadratic,1000,9
ThreeSumQuadrithmic,1000,18
ThreeSumCubic,1000,210
ThreeSumQuadraticWithCalipers,1000,4
ThreeSumQuadratic,2000,20
ThreeSumQuadrithmic,2000,53
ThreeSumCubic,2000,1292
ThreeSumQuadraticWithCalipers,2000,10
ThreeSumQuadratic,4000,79
ThreeSumQuadrithmic,4000,247
ThreeSumCubic,4000,10682
ThreeSumQuadraticWithCalipers,4000,85
ThreeSumQuadratic,8000,421
ThreeSumQuadrithmic,8000,1216
ThreeSumQuadraticWithCalipers,8000,293
ThreeSumQuadratic,16000,1827
ThreeSumQuadrithmic,16000,5231
ThreeSumQuadraticWithCalipers,16000,1698
